"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.770036542E0,-6.682254181E0,-4.643044739E0,-3.513343964E0
1.789924542E0,-5.779930573E0,-2.194286957E0,-4.762945404E0
1.809811542E0,-2.529739380E0,-2.221530304E0,-9.414522400E0
1.829699542E0,9.669891357E-2,-2.624192963E0,-4.295317841E0
1.849587542E0,2.862048340E-1,-5.384153595E0,-5.049150238E0
1.869475542E0,-7.297325134E-1,-9.056317291E0,1.278341675E0
1.889363542E0,-7.644004211E0,-1.410337189E1,-7.141199799E0
1.909250542E0,-1.709564941E1,-2.178150513E1,-4.763843536E0
1.929138542E0,-1.716450623E1,-1.964260300E1,-4.902305603E0
1.949026542E0,-6.059698792E0,-4.177213440E0,-4.011508026E0
1.968914542E0,-4.487368469E0,-4.309538269E0,-4.154161377E0
1.988801542E0,-2.976709900E0,-5.482050018E0,-6.253246307E0
2.008689542E0,-4.054169312E0,-6.935527496E0,-4.265679474E0
2.028577542E0,-5.821993103E0,-6.823859711E0,-5.595214691E0
2.048465542E0,-6.055208130E0,-6.472989349E0,-5.547164612E0
2.068352542E0,-6.051016846E0,-6.917415161E0,-5.010979614E0
2.088240542E0,-5.594166870E0,-5.721551971E0,-3.325783997E0
2.108128542E0,-5.862109680E0,-5.550308075E0,-5.314248962E0
2.128016542E0,-6.317013702E0,-5.903274078E0,-4.638404388E0
2.147904542E0,-6.127807159E0,-6.505920868E0,-4.500840454E0
2.167791542E0,-5.907165985E0,-6.330186310E0,-4.244273987E0
2.187679542E0,-6.180946655E0,-6.358926544E0,-4.463268585E0
2.207567542E0,-5.913153534E0,-6.264472961E0,-4.606969757E0
2.227455542E0,-7.434290314E0,1.066831512E0,-6.492149506E0
2.247343542E0,-8.578810272E0,-8.711135101E0,-4.045786743E0
2.267230542E0,-8.005502472E0,-6.412964172E0,-3.696562958E0
2.287118542E0,-7.143145752E0,-5.875731354E0,-3.344195709E0
2.307006542E0,-6.628066864E0,-6.891818390E0,-4.484823761E0
2.326894542E0,-5.187462616E0,-7.602390747E0,-4.601880341E0
2.346781542E0,-3.338507538E0,-7.219786377E0,-5.042713623E0
2.366669542E0,-4.595144348E0,-7.611222382E0,-4.418661346E0
2.386557542E0,-5.347030792E0,-6.769822083E0,-4.708758087E0
2.406445542E0,-5.687273254E0,-6.324947205E0,-4.268224182E0
2.426334083E0,-5.929619293E0,-4.458478546E0,-4.242178345E0
2.446221083E0,-7.133865051E0,-4.615352325E0,-4.276906128E0
2.466109083E0,-6.932833099E0,-4.953050079E0,-4.127516785E0
2.485997083E0,-7.444319458E0,-5.417833557E0,-4.056564331E0
2.505885083E0,-8.182135162E0,-5.594466248E0,-3.919898529E0
2.525773083E0,-8.106692047E0,-4.945865021E0,-3.618126068E0
2.545660083E0,-7.635771332E0,-4.717889099E0,-3.241509247E0
2.565548083E0,-7.628885651E0,-4.912484436E0,-3.260519714E0
2.585436083E0,-8.101602631E0,-4.850513306E0,-2.440225525E0
2.605324083E0,-8.300838318E0,-5.224735107E0,-3.208128662E0
2.625212083E0,-7.776778107E0,-5.032983856E0,-3.038681030E0
2.645099083E0,-8.044870605E0,-5.120851135E0,-2.761457520E0
2.664987083E0,-8.282576294E0,-5.079387360E0,-2.402803345E0
2.684875083E0,-8.171058197E0,-5.113815765E0,-2.575095062E0
2.704763083E0,-8.180189209E0,-5.206024017E0,-2.175575867E0
2.724651083E0,-8.368048553E0,-5.247038727E0,-1.991608429E0
2.744539083E0,-8.552165680E0,-5.071603546E0,-1.656006317E0
2.764426083E0,-8.520132294E0,-5.120851135E0,-1.735191650E0
2.784314083E0,-8.654253387E0,-5.305117950E0,-1.679507446E0
2.804202083E0,-8.845106506E0,-5.530549164E0,-1.472937012E0
2.824090083E0,-9.004824371E0,-5.786965942E0,-1.651815033E0
2.843978083E0,-8.800948334E0,-5.785169678E0,-2.106569366E0
2.863865083E0,-8.649014282E0,-5.704038391E0,-2.438279572E0
2.883753083E0,-8.329578552E0,-5.513035583E0,-2.606978760E0
2.903641083E0,-8.010591888E0,-5.245092773E0,-2.634072418E0
2.923529083E0,-8.083041229E0,-5.311554565E0,-2.990481262E0
2.943417083E0,-8.813372498E0,-5.785019989E0,-2.613415375E0
2.963305083E0,-9.147178345E0,-5.976022797E0,-2.562820587E0
2.983192083E0,-8.701255646E0,-5.441484375E0,-3.022514648E0
3.003080083E0,-7.932005310E0,-4.370910645E0,-2.446961517E0
3.022968083E0,-8.220904541E0,-4.073030090E0,-2.261946259E0
3.042856083E0,-8.649163971E0,-3.994742889E0,-1.602118378E0
3.062744083E0,-8.051157532E0,-3.591481476E0,-1.083746338E0
3.082632083E0,-8.507558441E0,-3.565285950E0,-4.267625427E-1
3.102519083E0,-7.683072968E0,-3.059936829E0,-5.511538696E-1
3.122407083E0,-8.336913300E0,-2.769690399E0,1.975891113E-2
3.142295083E0,-8.133486328E0,-2.346670074E0,-4.358935547E-1
3.162183083E0,-8.173902283E0,-2.449356537E0,1.469943237E-1
3.182071083E0,-8.266858978E0,-2.558030548E0,6.646179199E-1
