"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.745176542E0,-5.535026193E-1,-6.105613708E-2,-1.364791512E0
1.765064542E0,-7.800903916E-1,1.110814661E-1,-1.206644535E0
1.784952542E0,-1.183857679E0,5.235284567E-1,-1.464870453E0
1.804840542E0,-1.432276011E0,-1.749839664E0,-2.251472473E0
1.824727542E0,-1.770597577E0,-2.351378202E0,-3.242133617E0
1.844615542E0,-2.279459476E0,-2.594696045E0,-3.697945118E0
1.864503542E0,-8.545773029E-1,5.130906701E-1,-3.989752054E0
1.884391542E0,8.758527040E-1,-3.069402874E-1,-3.382539511E0
1.904278542E0,-1.113120079E0,-9.961992502E-1,-9.609091878E-1
1.924166542E0,-1.195796371E0,1.486578345E0,6.413618326E-1
1.944054542E0,-1.024770617E0,6.440650225E-1,6.254941970E-2
1.963942542E0,-2.503290474E-1,3.914171755E-1,2.415657341E-1
1.983829542E0,2.834466398E-1,-4.504427910E-1,3.621047437E-1
2.003717542E0,5.922456384E-1,-5.559512973E-1,2.309800833E-1
2.023605542E0,5.004270673E-1,-4.878317118E-1,2.137381583E-1
2.043493542E0,2.869938612E-1,-5.812396407E-1,2.487288862E-1
2.063381542E0,4.245522022E-1,-9.921291471E-1,2.469269633E-1
2.083268542E0,1.141825795E0,-1.097814679E0,-8.066159487E-2
2.103156542E0,4.476266503E-1,-7.235364914E-1,-4.477239400E-2
2.123044542E0,-2.680560052E-1,6.482452154E-2,6.769173592E-2
2.142932542E0,-1.005624905E-1,-1.050669774E-1,9.549879283E-2
2.162819542E0,9.395563602E-2,-3.515620530E-1,9.651866555E-2
2.182707542E0,-1.514876354E-2,-2.140529752E-1,9.098182619E-2
2.202595542E0,-2.355888672E-2,-3.951451182E-1,2.709845304E-1
2.222483542E0,-1.212724686E0,-2.747565806E-1,1.351513714E-1
2.242371542E0,-4.104542732E-1,1.123081297E-1,5.826957822E-1
2.262258542E0,-1.132934391E-1,-1.733964086E-1,8.518047333E-1
2.282146542E0,2.138001323E-1,5.889312550E-2,7.112235427E-1
2.302034542E0,4.047615230E-1,-1.056430042E-1,5.631598830E-1
2.321922542E0,3.380810320E-1,-3.449404612E-4,3.595287800E-1
