"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.784952542E0,-6.951683938E0,-4.973558604E0,-4.813927570E0
1.804840542E0,-6.846643386E0,-5.098424140E0,-4.833806056E0
1.824727542E0,-6.770308571E0,-5.309828467E0,-4.712193911E0
1.844615542E0,-6.613796149E0,-5.599914683E0,-4.597252854E0
1.864503542E0,-6.283460625E0,-5.927543532E0,-4.649565554E0
1.884391542E0,-5.757166777E0,-6.400614853E0,-4.703537985E0
1.904278542E0,-5.568975896E0,-6.644953038E0,-4.589901442E0
1.924166542E0,-5.534619411E0,-6.502734720E0,-4.828927140E0
1.944054542E0,-5.482202631E0,-6.363274534E0,-5.068555393E0
1.963942542E0,-5.435788018E0,-6.284617789E0,-5.214584926E0
1.983829542E0,-5.481756488E0,-6.250386434E0,-5.207603935E0
2.003717542E0,-5.579690918E0,-6.266569188E0,-5.082642505E0
2.023605542E0,-5.655510010E0,-6.299446912E0,-4.956640854E0
2.043493542E0,-5.735434431E0,-6.309778358E0,-4.850521199E0
2.063381542E0,-5.844038860E0,-6.313086712E0,-4.714687164E0
2.083268542E0,-5.950878015E0,-6.373974938E0,-4.493950972E0
2.103156542E0,-6.023640182E0,-6.461818244E0,-4.265768644E0
2.123044542E0,-6.051737807E0,-6.461882563E0,-4.225711416E0
2.142932542E0,-6.058196642E0,-6.431813841E0,-4.262168806E0
2.162819542E0,-6.095246939E0,-6.421723886E0,-4.224393746E0
2.182707542E0,-6.129370120E0,-6.414440594E0,-4.185910589E0
2.202595542E0,-6.176850096E0,-6.390103313E0,-4.153221145E0
2.222483542E0,-6.231839651E0,-6.328165512E0,-4.165886799E0
2.242371542E0,-6.249170213E0,-6.235507025E0,-4.278133166E0
2.262258542E0,-6.353987986E0,-6.118412438E0,-4.292779857E0
2.282146542E0,-6.454738435E0,-6.018696361E0,-4.283428405E0
2.302034542E0,-6.530890818E0,-5.965527045E0,-4.242175713E0
2.321922542E0,-6.592554384E0,-5.936956964E0,-4.186512267E0
2.341810542E0,-6.612150158E0,-5.933554469E0,-4.160347731E0
2.361697542E0,-6.613749372E0,-5.962153201E0,-4.116690373E0
2.381585542E0,-6.635552469E0,-5.995278262E0,-4.032642787E0
2.401473542E0,-6.687417272E0,-5.978557565E0,-3.971321575E0
2.421362083E0,-6.801665434E0,-5.869522780E0,-3.939816192E0
2.441249083E0,-6.947728297E0,-5.737379799E0,-3.879123555E0
2.461137083E0,-7.111117628E0,-5.592318565E0,-3.793950966E0
2.481025083E0,-7.258321282E0,-5.457211631E0,-3.711023999E0
2.500913083E0,-7.384606522E0,-5.357479767E0,-3.605700442E0
2.520801083E0,-7.496162626E0,-5.297610710E0,-3.461064593E0
2.540688083E0,-7.587784402E0,-5.262270139E0,-3.312120223E0
2.560576083E0,-7.671195518E0,-5.247404178E0,-3.139048779E0
2.580464083E0,-7.718880731E0,-5.243361998E0,-3.026899475E0
2.600352083E0,-7.749092710E0,-5.234041536E0,-2.965215443E0
2.620240083E0,-7.792732235E0,-5.230413923E0,-2.855209729E0
2.640128083E0,-7.830660784E0,-5.240107437E0,-2.730952011E0
2.660015083E0,-7.855164126E0,-5.251853909E0,-2.636381191E0
2.679903083E0,-7.881135703E0,-5.259703211E0,-2.541521812E0
2.699791083E0,-7.910893353E0,-5.269129508E0,-2.426965648E0
2.719679083E0,-7.943550637E0,-5.272998025E0,-2.309034909E0
2.739567083E0,-7.975448953E0,-5.265099022E0,-2.215185929E0
2.759454083E0,-8.002841404E0,-5.251923491E0,-2.146609637E0
2.779342083E0,-8.029004186E0,-5.234262561E0,-2.091336931E0
2.799230083E0,-8.055902547E0,-5.206477761E0,-2.056965682E0
2.819118083E0,-8.088729401E0,-5.161892157E0,-2.040452268E0
2.839006083E0,-8.126315888E0,-5.103712946E0,-2.037455862E0
2.858894083E0,-8.166751138E0,-5.037050595E0,-2.041665711E0
2.878781083E0,-8.212540684E0,-4.961954804E0,-2.041881035E0
2.898669083E0,-8.263495660E0,-4.882331222E0,-2.028203667E0
2.918557083E0,-8.317402310E0,-4.802701793E0,-1.997745520E0
2.938445083E0,-8.382487083E0,-4.713297865E0,-1.937733646E0
2.958333083E0,-8.466264235E0,-4.594141551E0,-1.858051007E0
2.978220083E0,-8.559719113E0,-4.458024802E0,-1.758788382E0
