"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.784952542E0,1.079994764E0,2.843338419E0,6.367138374E-1
1.804840542E0,4.011837809E0,2.699961183E0,-4.844169661E0
1.824727542E0,6.795306002E0,2.762275545E0,1.552196020E-1
1.844615542E0,6.903294720E0,3.862571257E-1,-3.906741124E-1
1.864503542E0,5.784248741E0,-2.872057604E0,5.974011354E0
1.884391542E0,-1.321014070E0,-7.315512314E0,-2.103555712E0
1.904278542E0,-1.116292876E1,-1.459392989E1,-9.458871192E-1
1.924166542E0,-1.244673875E1,-1.384759596E1,3.035383201E-1
1.944054542E0,-7.911007959E-1,1.812888283E0,5.531968868E-1
1.963942542E0,8.601032031E-1,2.047229483E0,1.426860952E0
1.983829542E0,2.431249464E0,8.672800756E-1,-1.148328250E0
2.003717542E0,1.697214569E0,-6.352783459E-1,7.617284775E-1
2.023605542E0,-1.250193179E-1,-5.621343559E-1,-5.544493604E-1
2.043493542E0,-3.066005069E-1,-1.620128971E-1,-7.306218749E-1
2.063381542E0,-2.176064694E-1,-6.011855704E-1,-3.849087578E-1
2.083268542E0,3.439876038E-1,6.328137445E-1,1.253340150E0
2.103156542E0,1.841334987E-1,8.669029301E-1,-9.904013872E-1
2.123044542E0,-2.327934426E-1,6.897358042E-1,-5.017577612E-1
2.142932542E0,-9.041608036E-2,-6.033390999E-2,-2.332819775E-1
2.162819542E0,1.773045355E-1,4.154271305E-2,-1.254490882E-2
2.182707542E0,-3.840334296E-2,8.635051131E-2,-2.658313805E-1
2.202595542E0,2.346551961E-1,5.781960726E-2,-5.167684409E-1
2.222483542E0,-1.145868326E0,7.710989914E0,-2.715154588E0
2.242371542E0,-2.126062814E0,-2.436559321E0,6.710840634E-1
2.262258542E0,-1.694623668E0,-3.637073386E-1,4.641908625E-1
2.282146542E0,-7.253804308E-1,1.137757069E-1,1.001802288E0
2.302034542E0,-1.586981106E-1,-8.268980348E-1,-2.213919568E-1
2.321922542E0,1.278005460E0,-1.634148840E0,-3.903706419E-1
2.341810542E0,3.194757249E0,-1.297907043E0,-8.667979726E-1
2.361697542E0,2.160211138E0,-1.646823265E0,-3.503204307E-1
2.381585542E0,1.302742106E0,-8.395093095E-1,-6.446818382E-1
2.401473542E0,1.007927831E0,-4.501233387E-1,-3.570774731E-1
2.421362083E0,9.418010849E-1,1.380657424E0,-2.734719372E-1
2.441249083E0,-1.133856976E-1,1.175168139E0,-3.793699828E-1
2.461137083E0,1.724478382E-1,6.380715609E-1,-3.239857408E-1
2.481025083E0,-1.253736591E-1,7.545364022E-2,-3.787715203E-1
2.500913083E0,-7.445376635E-1,-2.547988540E-1,-3.131496808E-1
2.520801083E0,-6.364255697E-1,3.029471666E-1,-1.991234207E-1
2.540688083E0,-7.103899240E-2,5.476741916E-1,8.363389492E-2
2.560576083E0,4.066270709E-2,3.443495464E-1,-3.069358447E-1
2.580464083E0,-3.390122080E-1,4.034771758E-1,6.446031931E-1
2.600352083E0,-5.857261169E-1,1.304806173E-2,-2.010006693E-1
2.620240083E0,9.216966033E-3,1.953338403E-1,-2.012848440E-1
2.640128083E0,-2.104664344E-1,1.078805441E-1,-5.011385411E-2
2.660015083E0,-3.784627873E-1,1.868372512E-1,2.448045006E-1
2.679903083E0,-3.222552574E-1,1.478333992E-1,-4.255486608E-2
2.699791083E0,-2.634585804E-1,6.145891428E-2,2.259422600E-1
2.719679083E0,-4.068364012E-1,2.191653371E-2,3.151795417E-1
2.739567083E0,-5.639931858E-1,1.749340743E-1,5.380736482E-1
2.759454083E0,-5.448336142E-1,1.346648848E-1,4.198008478E-1
2.779342083E0,-6.077350366E-1,-5.618589520E-2,4.088361490E-1
2.799230083E0,-7.297769523E-1,-2.842536181E-1,5.641208012E-1
2.819118083E0,-9.252271521E-1,-6.304631639E-1,4.154315159E-1
2.839006083E0,-7.005297643E-1,-6.771163434E-1,-4.082204372E-2
2.858894083E0,-5.032195652E-1,-6.708797032E-1,-3.698188484E-1
2.878781083E0,-1.453290367E-1,-5.621577448E-1,-5.706356227E-1
2.898669083E0,2.421250141E-1,-3.768328759E-1,-5.867087415E-1
2.918557083E0,2.490305758E-1,-4.925367022E-1,-9.833052063E-1
2.938445083E0,-3.654702741E-1,-1.024719281E0,-6.943928191E-1
2.958333083E0,-7.024704552E-1,-1.405682337E0,-6.932438412E-1
2.978220083E0,-1.804556000E-1,-9.857049036E-1,-1.215825584E0
2.998108083E0,7.081282210E-1,-1.229663604E-1,-8.847923402E-1
3.017996083E0,5.390805387E-1,1.263384497E-1,-8.144339637E-1
3.037884083E0,2.430494589E-1,6.485380769E-2,-4.176759696E-1
3.057772083E0,8.810327268E-1,3.371194643E-1,-1.955301605E-2
3.077660083E0,4.798646164E-1,2.566655776E-1,4.991944150E-1
3.097547083E0,1.365360523E0,6.824878880E-1,2.576514912E-1
3.117435083E0,7.733550811E-1,9.263556647E-1,7.212786090E-1
3.137323083E0,9.180192894E-1,1.334194279E0,2.201827526E-1
3.157211083E0,9.433991289E-1,1.241398674E0,6.490619143E-1
3.177099083E0,7.896372378E-1,1.145779741E0,1.176677306E0
3.196987083E0,8.955297285E-1,1.186972206E0,1.032632318E0
3.216875083E0,1.014788370E0,1.342314015E0,8.502670169E-1
3.236762083E0,4.646256030E-2,1.202086966E0,7.008367431E-1
3.256650083E0,-2.895900795E0,1.562013495E-1,3.996666185E-1
3.276538083E0,-4.577999727E0,-1.671552309E0,1.117674222E0
3.296426083E0,-1.817267262E0,-2.458332890E0,1.094905091E0
3.316314083E0,9.493434083E-1,-8.002563661E-1,-4.508577490E-1
3.336202083E0,2.554626884E0,1.370525368E0,-5.502581493E-1
3.356089083E0,2.080574400E0,1.301492556E0,-7.595591605E-1
3.375977083E0,6.513564348E-2,1.494431376E-2,-1.860946548E-1
3.395865083E0,-1.635670871E0,-9.729860401E-1,-1.515854844E-1
3.415753083E0,-1.484308092E0,-8.962793416E-1,-4.249290021E-1
3.435640833E0,-8.373797536E-2,-1.142624876E-1,-5.747532320E-1
3.455528833E0,7.894840407E-1,3.119451544E-1,-8.356140406E-1
3.475416833E0,8.604002416E-1,2.874736798E-1,-7.459841184E-1
3.495303833E0,2.856090027E-1,2.126722965E-1,-1.251935649E-1
3.515191833E0,-3.971563357E-1,5.328608555E-1,9.023833231E-1
3.535079833E0,-8.189984465E-1,8.630966851E-1,1.926767485E0
3.554967833E0,-8.266793489E-1,5.723161125E-1,1.782547081E0
3.574855833E0,-9.072990042E-1,5.185837090E-2,1.675784086E0
3.594743833E0,-9.305235600E-1,-6.240329808E-1,1.133070087E0
3.614631833E0,-3.060134465E-1,-7.861335862E-1,2.056769800E-1
3.634518833E0,3.027121085E-1,-5.603752211E-1,-1.138244873E0
3.654406833E0,5.294267857E-1,-3.091922852E-1,-1.955093737E0
3.674294833E0,1.393878563E0,6.052160561E-2,-2.353452845E0
3.694182833E0,1.546143567E0,1.571705255E-1,-2.015690625E0
3.714070833E0,1.304393944E0,1.172776043E-2,-1.622629241E0
3.733958833E0,8.099504650E-1,-3.269473556E-1,-1.416326755E0
3.753846833E0,4.626024663E-1,-5.607105589E-1,-1.240552436E0
3.773734833E0,2.346101725E-1,-5.285385936E-1,-6.780853732E-1
3.793622833E0,8.234166026E-2,-4.464735067E-1,-3.145066734E-1
3.813509833E0,-2.712909257E-1,-4.251285383E-1,1.276880602E-1
3.833397833E0,-5.178188932E-1,-3.719571751E-1,4.284033445E-1
3.853285833E0,-9.426460075E-1,2.595421153E-1,9.609466231E-1
3.873173833E0,-1.010081361E0,8.396704003E-1,1.643324876E0
3.893061833E0,-8.707082981E-1,1.315821450E0,2.441407832E0
3.912949833E0,-1.153555661E0,8.551225448E-1,2.512610546E0
