"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.768924228048823E9,"2026-01-20 15:50:28.049 UTCZ"
"PAUSE",2.114993479999976E2,1.768924439548793E9,"2026-01-20 15:53:59.549 UTCZ"
