"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.772753364646491E9,"2026-03-05 23:29:24.646 UTCZ"
"PAUSE",5.452276683336822E1,1.772753419169414E9,"2026-03-05 23:30:19.169 UTCZ"
