"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.830470083E0,5.209167480E-2,-6.875652008E0,2.940335541E0
1.850360083E0,2.608924713E0,-1.329385529E0,4.239184570E0
1.870249083E0,4.536017303E0,1.353186035E0,3.501668243E0
1.890139083E0,5.295986938E0,2.344125366E0,2.465073853E0
1.910029083E0,5.018913116E0,1.435065765E0,2.215393066E-2
1.929918083E0,4.073030090E0,-1.312021637E0,-2.859054565E-2
1.949808083E0,3.706143036E0,-4.231251068E0,-1.894310760E0
1.969698083E0,-9.275311890E0,-2.775258820E1,-4.655409027E1
1.989587083E0,-1.165551224E1,-2.732537659E1,-6.232140198E0
2.009477083E0,-1.115824631E1,-1.394080994E1,-6.946305084E0
2.029367083E0,-5.326523438E0,-6.999893646E0,-1.054706726E0
2.049256083E0,2.756517792E0,-7.162156219E0,6.796316986E0
2.069146083E0,5.366340637E0,-1.124341919E1,3.831881561E0
2.089036083E0,7.385042725E0,-1.170056854E1,6.763834534E0
2.108925083E0,6.117628326E0,-1.112336884E1,4.813240814E0
2.128815083E0,4.338278503E0,-1.093491074E1,4.784051514E0
2.148705083E0,4.419858856E0,-1.079375427E1,2.949915619E0
2.168594083E0,3.094514923E0,-1.191357559E1,2.039508820E0
2.188484083E0,1.661993866E0,-1.253882538E1,2.490071869E0
2.208374083E0,2.844085693E-2,-1.224438766E1,2.652334442E0
2.228263083E0,-2.356998596E0,-1.054482193E1,3.325783997E0
2.248153083E0,-2.295626221E0,-8.470285950E0,3.055146790E0
2.268043083E0,-2.038460999E0,-6.453978882E0,1.854792938E0
2.287932083E0,-3.237168274E0,-6.122418365E0,-2.260299683E-1
2.307822083E0,-4.959786072E0,-6.959328003E0,-1.114133148E0
2.327712083E0,-6.022426300E0,-8.127947845E0,-1.161135406E0
2.347601083E0,-5.728737030E0,-8.613687744E0,-1.483115845E0
2.367491083E0,-3.642675018E0,-7.212152252E0,-3.898493042E0
2.387381083E0,-2.364183655E0,-7.210655365E0,-1.221325241E1
2.407270083E0,-6.440806274E0,-1.059841049E1,-2.311942291E0
2.427160083E0,-8.300538940E0,-1.157228531E1,4.297413483E0
2.447050083E0,-9.169182587E0,-1.103565125E1,-3.462300110E0
2.466939083E0,-1.155776550E1,-9.527238007E0,-1.095287338E1
2.486829083E0,-1.445963104E1,-9.513316956E0,-3.870800629E0
2.506719083E0,-1.619856491E1,-1.118189713E1,-4.803660736E0
2.526608083E0,-9.193132782E0,-1.467039276E1,6.356381836E0
2.546498083E0,-3.933220825E0,-1.227761856E1,1.016326538E1
2.566388083E0,-3.604504395E0,-1.559606781E1,4.728666687E0
2.586277083E0,-3.507506104E0,-1.999676651E1,-2.603984985E0
2.606167083E0,-2.943628693E0,-2.335009323E1,-3.048710175E0
2.626057083E0,-2.293231201E0,-2.156685150E1,2.331252136E0
2.645946083E0,-1.393601990E-1,-1.514385818E1,3.182980957E0
2.665836083E0,2.674188995E0,-9.390721893E0,1.942510529E0
2.685726083E0,1.336570587E0,-6.266418915E0,2.852318573E0
2.705615083E0,1.006806335E0,-3.724704437E0,6.558162231E0
2.725505083E0,2.788700867E-1,-1.890269165E0,7.745044098E0
2.745395083E0,-2.624043274E-1,1.646575928E-1,1.973795471E0
2.765284375E0,1.385219421E0,1.609004059E0,6.749464417E-1
2.785174375E0,3.146007843E0,-2.790197754E-1,2.537972260E0
2.805064375E0,4.288731537E0,-1.384321289E0,2.241738281E0
2.824953375E0,5.649851074E0,-2.112107849E0,-1.500629425E0
2.844843375E0,5.401367798E0,-4.815186768E0,-5.976022797E0
2.864733375E0,-3.588338013E0,-1.617012405E1,-1.849688553E1
2.884622375E0,-2.000829254E1,-3.116534134E1,-2.256168274E1
2.904512375E0,-1.731823654E1,-1.782523224E1,-5.848787384E0
2.924402375E0,-1.055559952E1,-3.590733032E0,-6.433022461E0
2.944291375E0,-4.910837860E0,-7.096143494E0,8.489446106E0
2.964181375E0,-1.470541992E0,-1.350910767E1,8.414601746E0
2.984071375E0,3.447181549E0,-1.309596680E1,5.417384491E0
3.003960375E0,6.455475769E0,-1.133278336E1,2.753074951E0
3.023850375E0,5.363197174E0,-9.703721008E0,4.775070190E-1
3.043740375E0,4.504133606E0,-9.959239655E0,-8.068222046E-2
3.063629375E0,2.757415924E0,-1.099164276E1,9.937834167E-1
3.083519375E0,2.700833588E0,-9.556876373E0,2.263443146E0
3.103409375E0,1.298250275E0,-9.883646851E0,2.894979858E0
3.123298375E0,-1.243464203E0,-1.065634003E1,4.522994385E0
3.143188375E0,-3.038980408E0,-9.910441132E0,4.540657654E0
3.163078375E0,-3.149151306E0,-8.102500763E0,3.969894562E0
3.182967375E0,-3.327580261E0,-6.462810516E0,2.833906860E0
3.202857375E0,-4.715943146E0,-5.946534119E0,1.319655762E0
3.222747375E0,-6.373596039E0,-6.584657135E0,-6.346801758E-1
3.242636375E0,-7.158713379E0,-7.313790894E0,-1.315015411E0
3.262526375E0,-6.169420624E0,-7.614515533E0,-1.131047974E0
3.282416375E0,-4.914131012E0,-7.313940582E0,-1.629511414E0
3.302305375E0,-5.150788879E0,-7.778125305E0,-2.327509918E0
3.322195375E0,-7.272925873E0,-9.796977081E0,-1.055530014E1
3.342085375E0,-7.015161896E0,-1.133981873E1,-6.753805389E0
3.361974375E0,-8.242459717E0,-1.289538391E1,2.924618225E0
3.381864375E0,-1.051293823E1,-1.070663544E1,-3.188818817E0
3.401754375E0,-1.472892105E1,-8.941655731E0,-5.481900330E0
