"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.839172083E0,-1.845883828E0,-9.360456705E0,-2.282681801E0
1.859061083E0,-1.888988917E0,-9.385392156E0,-2.140615218E0
1.878951083E0,-1.800122495E0,-9.426298108E0,-2.034839087E0
1.898841083E0,-1.580435294E0,-9.483801965E0,-1.948293132E0
1.918730083E0,-1.297720517E0,-9.548404343E0,-1.838469266E0
1.938620083E0,-1.010138006E0,-9.614836898E0,-1.664520740E0
1.958510083E0,-7.749037892E-1,-9.640034890E0,-1.644792381E0
1.978399083E0,-9.087521835E-1,-9.540326999E0,-2.095807128E0
1.998289083E0,-1.268438830E0,-9.554331665E0,-1.828094990E0
2.018179083E0,-1.799992248E0,-9.575280485E0,-1.144616072E0
2.038068083E0,-2.283835457E0,-9.522529244E0,-5.844866168E-1
2.057958083E0,-2.486484602E0,-9.457563754E0,-7.797482805E-1
2.077848083E0,-2.457954283E0,-9.396505374E0,-1.378495562E0
2.097737083E0,-2.265159011E0,-9.378715805E0,-1.773371776E0
2.117627083E0,-2.002935509E0,-9.408310903E0,-1.925625670E0
2.137517083E0,-1.793426118E0,-9.474198498E0,-1.805352537E0
2.157406083E0,-1.631962128E0,-9.557277492E0,-1.493747545E0
2.177296083E0,-1.513225789E0,-9.628717604E0,-1.110877638E0
2.197186083E0,-1.433055200E0,-9.675982402E0,-7.468625895E-1
2.217075083E0,-1.369058302E0,-9.701779733E0,-4.871032136E-1
2.236965083E0,-1.368727788E0,-9.709341352E0,-3.022966638E-1
2.256855083E0,-1.428685284E0,-9.704838996E0,-1.051176707E-1
2.276744083E0,-1.525729329E0,-9.689145654E0,1.694338178E-1
2.296634083E0,-1.647248358E0,-9.651822292E0,6.041567599E-1
2.316524083E0,-1.784798112E0,-9.572764428E0,1.188602337E0
2.336413083E0,-1.915058728E0,-9.443815196E0,1.839294016E0
2.356303083E0,-1.970078981E0,-9.288317851E0,2.466179853E0
2.376193083E0,-1.804890315E0,-9.172110288E0,2.975043151E0
2.396082083E0,-1.369714798E0,-9.182880274E0,3.167758901E0
2.415972083E0,-1.036369565E0,-9.270161077E0,3.037461009E0
2.435862083E0,-1.008580892E0,-9.350389554E0,2.790892111E0
2.455751083E0,-1.131736483E0,-9.432988492E0,2.444175904E0
2.475641083E0,-1.298050738E0,-9.518396432E0,1.987787127E0
2.495531083E0,-1.642197825E0,-9.565354836E0,1.429430511E0
2.515420083E0,-2.166512682E0,-9.530717685E0,8.412754610E-1
2.535310083E0,-2.770503455E0,-9.401051000E0,4.250282220E-1
2.555200083E0,-3.301153478E0,-9.237737682E0,-5.208375822E-2
2.575089083E0,-3.622072939E0,-9.091132198E0,-6.841086631E-1
2.594979083E0,-3.644347614E0,-9.003108798E0,-1.377988024E0
2.614868083E0,-3.554016026E0,-8.946432906E0,-1.888488834E0
2.634758083E0,-3.603014524E0,-8.911937258E0,-1.957489633E0
2.654648083E0,-3.768509438E0,-8.886484328E0,-1.750670984E0
2.674537083E0,-3.940669886E0,-8.823138517E0,-1.691002195E0
2.694427083E0,-4.130074942E0,-8.721488181E0,-1.764724913E0
2.714317083E0,-4.263634703E0,-8.632471340E0,-1.880951773E0
2.734206083E0,-4.319223305E0,-8.581860180E0,-1.982947825E0
2.754096083E0,-4.340696327E0,-8.563395258E0,-2.015612419E0
2.773986375E0,-4.310806238E0,-8.595868354E0,-1.940124134E0
2.793875375E0,-4.197852357E0,-8.685890332E0,-1.780291809E0
2.813765375E0,-3.985462189E0,-8.816928189E0,-1.616788311E0
2.833655375E0,-3.654652747E0,-8.972785723E0,-1.539063904E0
2.853544375E0,-3.218784628E0,-9.109614662E0,-1.700132038E0
2.873434375E0,-2.985280749E0,-9.121462290E0,-2.030553224E0
2.893324375E0,-3.251716731E0,-9.041709777E0,-1.977351602E0
2.913213375E0,-3.699804069E0,-8.950999582E0,-1.557928776E0
2.933103375E0,-3.981983095E0,-8.898234892E0,-1.096055677E0
2.952993375E0,-3.984458222E0,-8.898075848E0,-1.088323758E0
2.972882375E0,-3.842835443E0,-8.921274092E0,-1.370989345E0
2.992772375E0,-3.574220203E0,-8.996013787E0,-1.591480100E0
3.012662375E0,-3.239180008E0,-9.141313003E0,-1.476557315E0
3.032551375E0,-2.985531009E0,-9.283983310E0,-1.063183654E0
3.052441375E0,-2.825633635E0,-9.370082976E0,-6.733774144E-1
3.072331375E0,-2.757661215E0,-9.406391262E0,-3.888267577E-1
3.092220375E0,-2.679424300E0,-9.434853169E0,-2.008442746E-1
3.112110375E0,-2.563335142E0,-9.468272930E0,-1.312386631E-1
3.132000375E0,-2.464656654E0,-9.493200780E0,-2.017853474E-1
3.151889375E0,-2.418979959E0,-9.502244083E0,-3.033079032E-1
3.171779375E0,-2.410443463E0,-9.503274947E0,-3.370956369E-1
3.191669375E0,-2.426015183E0,-9.502094395E0,-2.464202873E-1
3.211558375E0,-2.468336891E0,-9.494334555E0,3.221707103E-2
3.231448375E0,-2.523100451E0,-9.464666952E0,5.386334460E-1
3.251338375E0,-2.565382252E0,-9.391046999E0,1.209613575E0
3.271227375E0,-2.534525911E0,-9.279549367E0,1.924117527E0
3.291117375E0,-2.355345296E0,-9.173334695E0,2.557023073E0
3.311007375E0,-2.040208293E0,-9.093942955E0,3.061671697E0
3.330896375E0,-1.621290521E0,-9.084711370E0,3.327992782E0
3.350786375E0,-1.350169164E0,-9.207156159E0,3.105064177E0
3.370676375E0,-1.334486347E0,-9.334040154E0,2.707568703E0
3.390565375E0,-1.398095136E0,-9.401636891E0,2.427066074E0
3.410455375E0,-1.619836172E0,-9.460587350E0,2.027196045E0
3.430345375E0,-2.037000072E0,-9.503087252E0,1.333440865E0
3.450234375E0,-2.566795817E0,-9.440210972E0,7.280624025E-1
3.470124375E0,-3.186227331E0,-9.275222427E0,2.330135355E-1
3.490014375E0,-3.661512701E0,-9.092662414E0,-3.910258590E-1
3.509903375E0,-3.814696010E0,-8.974193732E0,-1.071485969E0
3.529793375E0,-3.737880553E0,-8.927078623E0,-1.603635438E0
3.549683375E0,-3.661920252E0,-8.910112342E0,-1.853737662E0
3.569572375E0,-3.670017183E0,-8.906626232E0,-1.854485813E0
3.589462375E0,-3.723968565E0,-8.888622655E0,-1.833177682E0
3.609352375E0,-3.817614063E0,-8.824378127E0,-1.947379944E0
3.629241375E0,-3.977816954E0,-8.717275847E0,-2.102900239E0
3.649131375E0,-4.097791587E0,-8.617826403E0,-2.275359917E0
3.669021375E0,-4.120125319E0,-8.562968411E0,-2.436445885E0
3.688910375E0,-4.086840921E0,-8.553024636E0,-2.525781984E0
3.708800375E0,-4.000346276E0,-8.601857073E0,-2.498279021E0
3.728690375E0,-3.843051205E0,-8.704689716E0,-2.386518557E0
3.748579375E0,-3.621756020E0,-8.835708277E0,-2.247050769E0
3.768469708E0,-3.312793238E0,-8.983090271E0,-2.136722434E0
3.788359708E0,-2.882988681E0,-9.104902976E0,-2.241701005E0
3.808248708E0,-2.678487576E0,-9.048048159E0,-2.682278326E0
3.828138708E0,-2.861114247E0,-9.027914441E0,-2.558687775E0
3.848028708E0,-3.274783412E0,-9.023163579E0,-2.023462890E0
3.867917708E0,-3.559018027E0,-9.019920128E0,-1.486782780E0
3.887807708E0,-3.651109335E0,-9.002667333E0,-1.362888905E0
3.907697708E0,-3.568110740E0,-9.009569387E0,-1.527202827E0
3.927586708E0,-3.333018172E0,-9.068849629E0,-1.697956435E0
